nome;colecao;arte;foil;lingua;quantidade;valor
Rashmi and Ragavan;March of the Machines: Commander (MOC);https://repositorio.sbrauble.com/arquivos/in/magic/480190/642dc935367bd-6wr1c-hdl3y-1546885790642dc93536807.jpg;não;pt;1;R$ 1.80
Zimone and Dina;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/642b1654c8f9b-8nl7i-gkwn2-1145332643642b1654c8fe3.jpg;não;pt;1;R$ 2.00
King Darien XLVIII;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/630660d57d3aa-tg45c-h87te-1234371610630660d57d3ef.jpg;não;pt;1;R$ 0.90
Squee, Dubious Monarch;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/62ffc8f03d899-lyrkx-74cj6-64559549462ffc8f03d8d8.jpg;não;pt;1;R$ 6.00
Kenrith, the Returned King;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea71b36b5-f72mq-qfogt-434275367642dea71b36f8.jpg;não;pt;1;R$ 4.70
Karplusan Forest;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/62ffc8c05b840-r7j2k-bscm6-101971762462ffc8c05b87f.jpg;não;pt;1;R$ 13.00
Temple of Abandon;Fondations(SFPIP);https://repositorio.sbrauble.com/arquivos/in/magic/480609/6720003e0f288-9btes-2v5cx-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 1.00
Etali, Primal Conqueror;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/6424af2d40ef0-eitrc-dv0h3-8243217216424af2d40f30.jpg;nãp;pt;1;R$ 84.00
Sheoldred, the Apocalypse;Dominaria United(PDMU);https://repositorio.sbrauble.com/arquivos/in/magic/480014/6303d79ddfba4-klwu1-hikpm-1329873336303d79ddfbe4.jpg;não;n/a;1;R$ 467.50
Felidar Retreat;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/6721687639387-cj0hr-8fazh-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 5.95
Gilded Lotus;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/67200020bad60-z291b-m6i9g-a47573e568e5a8d320ab76d2ae0188c6.jpg;sim;en;1;R$ 8.00
Sarkhan the Masterless;Command Masters(CMM);https://repositorio.sbrauble.com/arquivos/in/magic/480263/64b803603d650-u1gzi-buasc-205489612464b803603d68f.jpg;não;en;1;R$ 0.95
Rona, Herald of Invasion;March of the Machines(BFMOM);https://repositorio.sbrauble.com/arquivos/in/magic/480205/642de588599ee-o16m7-dirwn-210797236642de58859a37.jpg;sim;pt;1;R$ 14.75
Ertai Resurrected;Dominaria United(SGDMU);https://repositorio.sbrauble.com/arquivos/in/magic/480032/6309fe4bcf668-ly9u2-p7etz-19789767416309fe4bcf6a9.jpg;sim;pt;1;R$ 7.40
Azami, Lady of Scrolls;Command Masters(BPCMM);https://repositorio.sbrauble.com/arquivos/in/magic/480265/64b1c8090c182-8ywpa-pc8uo-207056087764b1c8090c1c2.jpg;não;en;1;R$ 3.90
Sheoldred ;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/642b1a5c8f0fb-ysht8-w8l4z-1245154314642b1a5c8f146.jpg;não;pt;1;R$ 69.30
Invasion of Fiora;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/6424af351f099-ohxmv-82q16-8382655446424af351f0de.jpg;não;pt;1;R$ 3.15
Urabrask the Hidden;Iconic Masters(IMA);https://repositorio.sbrauble.com/arquivos/in/magic/380789/5f4244144d49b-x4mpak-cmd4bo-37a749d808e46495a8da1e5352d03cae.jpg;não;en;1;R$ 8.50
Shivan Devastator;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/62ffc8e237458-5hak4-3hwq5-47919411762ffc8e237495.jpg;não ;pt;1;R$ 12.60
Kroxa, Titan of Death's Hunger;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/64259ce85c546-r2lk1-lmgpq-184582878864259ce85c58e.jpg;não;pt;1;R$ 19.00
Inferno of the Star Mounts;Adventures in the Forgotten Realms (AFR);https://repositorio.sbrauble.com/arquivos/in/magic/479855/60e4ada1535d6-zmld7-uehp3-49660419760e4ada153635.jpg;sim;en;1;R$ 22.50
Acererak the Archlich;Adventures in the Forgotten Realms (CBAFR);https://repositorio.sbrauble.com/arquivos/in/magic/479856/60e4bfab38187-r6ouv-zt7d2-40181664560e4bfab381d1.jpg;sim;en;1;R$ 119.60
Nautiloid Ship;Commander Legends(CLBLC);https://repositorio.sbrauble.com/arquivos/in/magic/479913/628cc0c4af72c-zcypb-lbv4r-958520108628cc0c4af775.jpg;não;en;2;R$ 29.90
Treasure Chest;Adventures in the Forgotten Realms (CBAFR);https://repositorio.sbrauble.com/arquivos/in/magic/479857/60df3ac6716a0-a2isf-p69zr-170327963860df3ac6716fb.jpg;sim;en;1;R$ 6.00
Tyrannical Pitlord;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/62ffed79213e3-yiftm-cobhj-40317369862ffed7921429.jpg;sim;pt;1;R$ 2.90
Altar of Bhaal;Commander Legends(CLB);https://repositorio.sbrauble.com/arquivos/in/magic/479911/628f9e4f13b57-ri9z4-tm9ks-1860302734628f9e4f13b99.jpg;sim;en;1;R$ 2.00
Defiler of Instinct;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/6309f94e147cc-7dksw-4uchs-3565057976309f94e1480c.jpg;sim;pt;1;R$ 2.85
Zirda, the Dawnwaker;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea99c2505-pxlc5-kem5s-876123991642dea99c2545.jpg;não;pt;1;R$ 2.60
Yorion, Sky Nomad;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea97d4cb4-kvlm7-vb17t-764105026642dea97d4cf6.jpg;não;pt;1;R$ 4.10
Atris, Oracle of Half-Truths;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea4285b2d-lxmcn-63rxt-489398136642dea4285b75.jpg;sim;pt;1;R$ 0.90
Empress Galina;Invasion(IL);https://repositorio.sbrauble.com/arquivos/in/magic/315/5f4243bb767e5-10nb58-irzwje-a684eceee76fc522773286a895bc8436.jpg;não;en;1;R$ 27.84
Step Between Worlds;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/66047ca08b968-7lmdh-eunao-8b7348065e7b65eeacb807363ff9592c.jpg;sim;en;1;R$ 1.20
Zimone, Paradox Sculptor;Fondations(FON);https://repositorio.sbrauble.com/arquivos/in/magic/480601/6725463dccac3-4w8xk-ialkc-f470ea843f79786b646179a35f39cf66.jpg;não;en;1;R$ 7.60
Baral, Chief of Compliance;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea479c89c-xwte7-v5fzs-1865973237642dea479c8e0.jpg;não;pt;2;R$ 11.25
Myrkul, Lord of Bones;Commander Legends(FECLB);https://repositorio.sbrauble.com/arquivos/in/magic/479915/6286262ced9b4-n9er3-2tcb1-11810014406286262ceda01.jpg;sim;en;1;R$ 5.22
Duke Ulder Ravengard;Commander Legends(FECLB);https://repositorio.sbrauble.com/arquivos/in/magic/479915/62866f09af7b0-o12xc-bmwg8-12517019862866f09af7fa.jpg;sim;en;1;R$ 4.85
Kros, Defense Contractor;New Capena Commander(NCC);https://repositorio.sbrauble.com/arquivos/in/magic/479903/625f3f7982f11-bhgpu-lf9dv-235324450625f3f7982f60.jpg;não;en;1;R$ 1.00
Vizier of the Menagerie;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/6721693ae1124-hkfvg-h0agi-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 9.20
Tiamat;Adventures in the Forgotten Realms (AFR);https://repositorio.sbrauble.com/arquivos/in/magic/479855/60db56dbb204b-4vdp1-v0n5e-76688581760db56dbb20a7.jpg;não;en;2;R$ 40.00
Dihada, Binder of Wills;Dominaria United Commander(DMC);https://repositorio.sbrauble.com/arquivos/in/magic/479948/6303af306d387-swv4h-x7yhj-19778796416303af306d3cc.jpg;não;pt;1;R$ 81.50
Shanid, Sleepers' Scourge;Dominaria United Commander(DMC);https://repositorio.sbrauble.com/arquivos/in/magic/479948/6303afdb4a211-b1mka-5sy2e-8749345556303afdb4a24f.jpg;não;pt;2;R$ 5.80
Chandra, Flamecaller;Commander 2020(C20);https://repositorio.sbrauble.com/arquivos/in/magic/479796/5f42444294ff8-ci2zmq-qnbmp2-2b24d495052a8ce66358eb576b8912c8.jpg;não;en;2;R$ 3.00
Jodah, the Unifier;Dominaria United(SGDMU);https://repositorio.sbrauble.com/arquivos/in/magic/480032/63066c29a561c-vndox-wp1u2-74012923963066c29a565a.jpg;sim;pt;1;R$ 52.72
Mirror Mockery;Dragons of Tarkir(DTK);https://repositorio.sbrauble.com/arquivos/in/magic/19027/6311054d41f93-gct9z-yw9g1-17799799676311054d41fd2.jpg;sim;en;1;R$ 2.80
Gratuitous Violence;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/67216893217f1-gf7i3-wdqhr-a47573e568e5a8d320ab76d2ae0188c6.jpg;sim;en;1;R$ 8.00
Adaptive Automaton;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/67216827abb1b-jumic-g7osw-a47573e568e5a8d320ab76d2ae0188c6.jpg;sim;en;1;R$ 4.50
